place_id,name,district,cuisine,price_level,is_tourist_area,star_rating,review_count,fqs,star_rank,fqs_rank,rank_delta,lat,lng,food_mention_rate,n_reviews,aspect_food,aspect_service,aspect_ambiance,aspect_price
ChIJoZY0BdOjpBIRBcs2kw1LzJk,Tapeo Gràcia | Barcelona,Gràcia,tapas,PRICE_LEVEL_MODERATE,False,4.5,1990,0.9536,15,7,8,41.404557,2.155454,1.0,5,0.9536,1.0,0.7262985304226867,
ChIJT53AZU2jpBIRsrg7mPCeCYs,El 37,Gràcia,tapas,,False,4.8,125,0.9536,4,4,0,41.407909,2.157682,1.0,5,0.9536,1.0,0.9186939070324439,1.0
ChIJl7hQSJSipBIRk7b0Z4WCgwE,La Pepita,Gràcia,tapas,PRICE_LEVEL_MODERATE,False,4.5,7774,0.9536,14,6,8,41.397963,2.161047,1.0,5,0.9536,1.0,0.8281300543487039,0.5
ChIJ__9Lrr2ipBIR_klc02UBq3M,"Entre Hores - Tapas, Vermut & Cocktails",Gràcia,tapas,PRICE_LEVEL_MODERATE,False,4.5,748,0.9536,10,5,5,41.403078,2.157798,0.8,5,0.9536,1.0,-0.14396749559362154,0.5
ChIJP2jB5LyipBIRMmBis7RJOkg,Gasterea,Gràcia,tapas,PRICE_LEVEL_INEXPENSIVE,False,4.5,1229,0.9536,9,3,6,41.403999,2.156627,1.0,5,0.9536,1.0,1.0,1.0
ChIJQXmT6biipBIRpPyiPV6SC80,La bodegueta de Gràcia,Gràcia,tapas,PRICE_LEVEL_INEXPENSIVE,False,4.4,869,-0.4386,17,21,-4,41.407336,2.163077,1.0,5,-0.4386,-0.2694358809884048,1.0,-1.0
ChIJFekvib2ipBIRucu0JO_5t50,Extra Bar,Gràcia,tapas,PRICE_LEVEL_MODERATE,False,4.8,627,0.843,2,13,-11,41.401338,2.158106,1.0,5,0.843,0.6891727688835165,0.49600197231488197,1.0
ChIJw_VpEb2ipBIRjwa77Zdm8ww,La Caleta de Gràcia,Gràcia,tapas,PRICE_LEVEL_INEXPENSIVE,False,4.4,1247,0.7594,19,15,4,41.402707,2.156482,1.0,5,0.7594,0.8667400202997272,0.7604795856948339,0.6886657807953303
ChIJpary9amjpBIRzT8ogqWLGoo,Dos Manos,Gràcia,tapas,,False,4.7,1234,0.874,5,11,-6,41.398468,2.161213,1.0,5,0.874,0.2493789062407259,0.21490750197711467,0.5
ChIJXVTwYqi-Z0ARrKEFWbFKMLQ,Restaurant La Panxa del Bisbe,Gràcia,tapas,PRICE_LEVEL_MODERATE,False,4.4,1779,0.6272,18,17,1,41.409488,2.157133,1.0,5,0.6272,0.9904932765364134,0.5,-0.3
ChIJeVg6OJSipBIRbn5GHSfe-r0,La Mini Pepita,Gràcia,tapas,PRICE_LEVEL_MODERATE,False,4.5,1153,0.5072,12,19,-7,41.39784,2.160879,0.8,5,0.5072,0.7677251022396802,0.7677251022396802,
ChIJ7yj5HryipBIR17Kxb2qyrD0,Taverna El Glop,Gràcia,tapas,PRICE_LEVEL_MODERATE,False,4.5,11067,0.5471,8,18,-10,41.404887,2.159544,1.0,5,0.5471,0.44532954518679657,0.8552374286229363,-0.2980429237519218
ChIJf_cJwL2ipBIRUD2HIDbJe7k,Buena Vida Bar,Gràcia,tapas,PRICE_LEVEL_MODERATE,False,4.3,1276,0.6903,20,16,4,41.402401,2.158628,1.0,5,0.6903,1.0,0.5447997538391007,-0.5288240730840695
ChIJh--JhpiipBIRVGsNc3DRCBw,Bodega Neus,Gràcia,tapas,PRICE_LEVEL_MODERATE,False,4.5,855,0.8469,13,12,1,41.4008,2.15214,1.0,5,0.8469,0.900085327544873,0.9447740498701842,0.7833184592621457
ChIJIStieq-jpBIRZHrhse1ZQ3s,El 68,Gràcia,tapas,,False,4.8,408,0.9536,3,2,1,41.402365,2.161206,1.0,5,0.9536,1.0,1.0,0.7414531950099745
ChIJ-aOyOJiipBIRagVCipaXrMw,La Pubilla,Gràcia,tapas,PRICE_LEVEL_MODERATE,False,4.5,2965,0.9536,7,1,6,41.39954,2.153658,1.0,5,0.9536,1.0,1.0,0.2382937291972387
ChIJzRYFar6ipBIRhp1MC1E9GTY,Bodega Marín,Gràcia,tapas,PRICE_LEVEL_MODERATE,False,4.5,2738,0.9536,16,8,8,41.402574,2.160996,1.0,5,0.9536,1.0,0.8720157984300873,
ChIJLUdwMbuipBIRJNqjktnrx9U,Bar Bodega Costa Brava,Gràcia,tapas,PRICE_LEVEL_INEXPENSIVE,False,4.6,441,0.7838,6,14,-8,41.407825,2.15518,1.0,5,0.7838,0.860413154444843,0.7904920491618901,
